date,px_open,px_high,px_low,px_last,currency,crossover_signal,countertrend_signal
2011-01-11,1518.46,1530.72,1514.82,1527.96,USD,1.0,0.0
2011-01-12,1524.42,1533.14,1519.13,1529.61,USD,1.0,0.0
2011-01-13,1531.05,1537.45,1511.18,1530.94,USD,1.0,0.0
2011-01-14,1516.15,1520.78,1495.17,1501.69,USD,1.0,1.0
2011-01-17,,,,,USD,1.0,1.0
2011-01-18,1502.46,1518.79,1497.6,1510.19,USD,1.0,1.0
2011-01-19,1509.74,1522.0,1507.21,1512.39,USD,1.0,1.0
2011-01-20,1512.06,1513.17,1481.71,1486.23,USD,1.0,1.0
2011-01-21,1485.13,1489.77,1475.75,1480.16,USD,1.0,1.0
2011-01-24,1482.37,1492.75,1470.01,1484.03,USD,1.0,1.0
2011-01-25,1472.22,1476.85,1459.08,1470.56,USD,1.0,1.0
2011-01-26,1469.68,1486.12,1461.73,1471.33,USD,1.0,1.0
2011-01-27,1485.57,1487.34,1445.61,1455.22,USD,1.0,1.0
2011-01-28,1450.36,1486.34,1443.41,1479.83,USD,1.0,1.0
2011-01-31,1477.96,1485.57,1460.63,1472.22,USD,1.0,1.0
2011-02-01,1471.66,1482.81,1462.84,1478.61,USD,1.0,1.0
2011-02-02,1482.14,1484.46,1464.27,1469.57,USD,1.0,1.0
2011-02-03,1473.87,1496.6,1462.07,1492.62,USD,1.0,1.0
2011-02-04,1496.38,1501.45,1484.35,1488.21,USD,1.0,1.0
2011-02-07,1487.22,1494.28,1482.81,1487.33,USD,1.0,1.0
2011-02-08,1492.51,1509.94,1488.1,1504.87,USD,1.0,1.0
2011-02-09,1504.54,1508.84,1498.47,1506.41,USD,1.0,1.0
2011-02-10,1504.98,1507.85,1490.86,1503.11,USD,1.0,1.0
2011-02-11,1504.76,1511.05,1494.06,1500.79,USD,1.0,1.0
2011-02-14,1498.36,1508.62,1494.17,1505.97,USD,1.0,1.0
2011-02-15,1502.66,1519.65,1501.78,1515.9,USD,1.0,1.0
2011-02-16,1516.12,1525.39,1509.5,1517.01,USD,1.0,1.0
2011-02-17,1518.55,1528.81,1516.45,1528.04,USD,1.0,1.0
2011-02-18,1528.37,1536.31,1524.62,1531.9,USD,1.0,1.0
2011-02-21,,,,,USD,1.0,1.0
2011-02-22,1553.3,1557.16,1533.55,1545.69,USD,1.0,1.0
2011-02-23,1543.81,1563.56,1540.06,1559.92,USD,1.0,0.0
2011-02-24,1557.82,1565.22,1535.87,1561.91,USD,1.0,0.0
2011-02-25,1546.57,1558.15,1544.59,1554.73,USD,1.0,0.0
2011-02-28,1556.83,1563.23,1550.21,1555.4,USD,1.0,0.0
2011-03-01,1557.27,1583.75,1555.29,1578.89,USD,1.0,0.0
2011-03-02,1582.98,1589.71,1575.59,1586.07,USD,1.0,0.0
2011-03-03,1584.74,1585.18,1556.17,1562.57,USD,1.0,0.0
2011-03-04,1561.8,1581.98,1559.7,1576.03,USD,1.0,0.0
2011-03-07,1583.09,1594.89,1575.7,1582.54,USD,1.0,0.0
