date,px_open,px_high,px_low,px_last,currency,crossover_signal,countertrend_signal
2017-05-26,50.09,51.32,49.51,51.17,USD,-1.0,-1.0
2017-05-29,,,,,USD,-1.0,-1.0
2017-05-30,51.3,51.66,50.38,51.03,USD,-1.0,-1.0
2017-05-31,51.02,51.08,49.04,49.65,USD,-1.0,-1.0
2017-06-01,49.97,50.52,49.22,49.69,USD,-1.0,-1.0
2017-06-02,49.36,49.52,48.03,48.97,USD,-1.0,-1.0
2017-06-05,49.02,49.75,48.15,48.71,USD,-1.0,-1.0
2017-06-06,48.71,49.73,48.23,49.52,USD,-1.0,-1.0
2017-06-07,49.3,49.56,46.91,46.98,USD,-1.0,-1.0
2017-06-08,47.11,47.45,46.44,46.9,USD,-1.0,-1.0
2017-06-09,46.97,47.45,46.52,47.09,USD,-1.0,-1.0
2017-06-12,47.06,48.0,46.92,47.35,USD,-1.0,-1.0
2017-06-13,47.28,47.85,46.81,47.74,USD,-1.0,-1.0
2017-06-14,47.21,47.77,45.77,45.96,USD,-1.0,-1.0
2017-06-15,45.92,46.04,45.44,45.68,USD,-1.0,-1.0
2017-06-16,45.47,46.18,45.46,45.97,USD,-1.0,-1.0
2017-06-19,45.91,46.3,45.26,45.42,USD,-1.0,-1.0
2017-06-20,45.32,45.62,43.93,44.42,USD,-1.0,-1.0
2017-06-21,44.29,45.12,42.93,43.42,USD,-1.0,-1.0
2017-06-22,43.44,44.23,43.14,43.63,USD,-1.0,-1.0
2017-06-23,43.7,44.1,43.42,43.91,USD,-1.0,-1.0
2017-06-26,44.06,44.56,43.52,44.29,USD,-1.0,-1.0
2017-06-27,44.4,45.37,44.23,45.17,USD,-1.0,-1.0
2017-06-28,44.61,45.84,44.58,45.68,USD,-1.0,-1.0
2017-06-29,45.83,46.4,45.58,45.87,USD,-1.0,-1.0
2017-06-30,45.83,47.32,45.82,47.0,USD,-1.0,-1.0
2017-07-03,47.25,48.09,46.88,48.05,USD,-1.0,-1.0
2017-07-04,,,,,USD,-1.0,-1.0
2017-07-05,48.02,48.31,45.44,46.07,USD,-1.0,-1.0
2017-07-06,46.61,47.5,46.13,46.47,USD,-1.0,-1.0
2017-07-07,46.3,46.37,44.7,45.16,USD,-1.0,-1.0
2017-07-10,45.28,45.78,44.56,45.33,USD,-1.0,-1.0
2017-07-11,45.51,46.77,44.75,45.98,USD,-1.0,-1.0
2017-07-12,46.7,47.45,46.05,46.44,USD,-1.0,-1.0
2017-07-13,46.39,47.25,45.93,47.04,USD,-1.0,-1.0
2017-07-14,47.04,47.72,46.76,47.51,USD,-1.0,-1.0
2017-07-17,47.66,47.86,46.85,46.98,USD,-1.0,-1.0
2017-07-18,46.95,47.9,46.77,47.37,USD,-1.0,-1.0
2017-07-19,47.22,48.25,47.11,48.11,USD,-1.0,-1.0
2017-07-20,48.08,48.54,47.64,47.77,USD,-1.0,-1.0
2017-07-21,47.76,48.06,46.36,46.6,USD,-1.0,-1.0
2017-07-24,46.45,47.37,46.22,47.18,USD,-1.0,-1.0
2017-07-25,47.3,49.54,47.22,48.76,USD,-1.0,-1.0
2017-07-26,49.39,49.75,48.73,49.63,USD,-1.0,-1.0
